Id	Hour	Min	Month	Date	Weekday
264	16	20	7	9	6
265	16	20	7	9	6
266	16	20	7	9	6
267	16	26	7	9	6
268	16	26	7	9	6
269	16	26	7	9	6
270	16	26	7	9	6
271	16	26	7	9	6
272	16	26	7	9	6
273	14	39	7	10	7
274	14	40	7	10	7
275	14	40	7	10	7
276	14	40	7	10	7
277	14	40	7	10	7
278	14	49	7	10	7
279	14	49	7	10	7
280	14	49	7	10	7
281	14	49	7	10	7
282	19	7	7	10	7
283	19	7	7	10	7
284	19	7	7	10	7
285	19	7	7	10	7
286	19	7	7	10	7
287	19	7	7	10	7
288	20	0	7	10	7
289	20	0	7	10	7
290	20	0	7	10	7
291	20	0	7	10	7
292	20	0	7	10	7
293	21	9	7	10	7
294	21	9	7	10	7
295	21	9	7	10	7
296	21	9	7	10	7
297	21	9	7	10	7
298	21	38	7	10	7
299	21	39	7	10	7
300	21	39	7	10	7
301	21	39	7	10	7
302	21	39	7	10	7
303	14	0	7	11	1
304	14	0	7	11	1
305	14	0	7	11	1
306	14	0	7	11	1
307	14	0	7	11	1
308	14	0	7	11	1
309	14	49	7	11	1
310	14	49	7	11	1
311	14	49	7	11	1
312	14	49	7	11	1
313	14	49	7	11	1
314	14	49	7	11	1
315	15	18	7	11	1
316	15	18	7	11	1
317	15	18	7	11	1
318	15	18	7	11	1
319	15	18	7	11	1
320	15	18	7	11	1
321	15	37	7	11	1
322	15	37	7	11	1
323	15	37	7	11	1
324	15	37	7	11	1
325	15	37	7	11	1
326	15	37	7	11	1
327	15	47	7	11	1
328	15	47	7	11	1
329	15	47	7	11	1
330	16	7	7	11	1
331	16	7	7	11	1
332	16	7	7	11	1
333	16	7	7	11	1
334	16	7	7	11	1
335	16	7	7	11	1
336	17	31	7	11	1
337	17	31	7	11	1
338	17	31	7	11	1
339	17	32	7	11	1
340	17	32	7	11	1
341	18	35	7	11	1
342	18	35	7	11	1
343	18	35	7	11	1
344	18	35	7	11	1
345	18	35	7	11	1
346	18	35	7	11	1
347	19	18	7	11	1
348	19	18	7	11	1
349	19	18	7	11	1
350	19	18	7	11	1
351	19	18	7	11	1
352	19	18	7	11	1
353	10	36	7	12	2
354	10	36	7	12	2
355	10	36	7	12	2
356	10	36	7	12	2
357	10	36	7	12	2
358	10	36	7	12	2
359	10	37	7	12	2
360	10	37	7	12	2
361	10	37	7	12	2
362	10	37	7	12	2
363	10	37	7	12	2
364	10	41	7	12	2
365	10	41	7	12	2
366	10	41	7	12	2
367	11	17	7	12	2
368	11	17	7	12	2
369	11	17	7	12	2
370	11	17	7	12	2
371	11	17	7	12	2
372	12	54	7	12	2
373	12	54	7	12	2
374	12	54	7	12	2
375	12	54	7	12	2
376	12	54	7	12	2
377	12	54	7	12	2
378	13	18	7	12	2
379	13	18	7	12	2
380	13	18	7	12	2
381	13	18	7	12	2
382	13	18	7	12	2
383	14	38	7	12	2
384	14	38	7	12	2
385	14	38	7	12	2
386	14	38	7	12	2
387	14	38	7	12	2
388	14	55	7	12	2
389	14	55	7	12	2
390	14	55	7	12	2
391	14	55	7	12	2
392	14	55	7	12	2
393	16	32	7	12	2
394	16	33	7	12	2
395	16	33	7	12	2
396	16	33	7	12	2
397	16	33	7	12	2
398	16	33	7	12	2
399	16	33	7	12	2
400	16	33	7	12	2
401	18	12	7	12	2
402	18	12	7	12	2
403	18	12	7	12	2
404	18	12	7	12	2
405	18	12	7	12	2
406	18	12	7	12	2
407	18	12	7	12	2
408	1	15	7	13	3
409	11	57	7	13	3
410	11	57	7	13	3
411	11	57	7	13	3
412	11	57	7	13	3
413	11	57	7	13	3
414	11	57	7	13	3
415	11	58	7	13	3
416	11	59	7	13	3
417	11	59	7	13	3
418	11	59	7	13	3
419	12	0	7	13	3
420	12	0	7	13	3
421	12	1	7	13	3
422	12	1	7	13	3
423	12	1	7	13	3
424	12	3	7	13	3
425	12	3	7	13	3
426	12	3	7	13	3
427	16	24	7	13	3
428	16	24	7	13	3
429	16	24	7	13	3
430	16	24	7	13	3
431	16	24	7	13	3
432	16	24	7	13	3
433	16	58	7	13	3
434	16	58	7	13	3
435	16	58	7	13	3
436	16	58	7	13	3
437	16	58	7	13	3
438	16	58	7	13	3
439	17	46	7	13	3
440	17	46	7	13	3
441	17	46	7	13	3
442	17	46	7	13	3
443	17	46	7	13	3
444	17	46	7	13	3
445	17	46	7	13	3
446	20	53	7	13	3
447	21	57	7	13	3
448	21	57	7	13	3
449	21	57	7	13	3
450	21	57	7	13	3
451	21	57	7	13	3
452	21	57	7	13	3
453	8	0	7	14	4
454	8	0	7	14	4
455	8	0	7	14	4
456	8	0	7	14	4
457	8	0	7	14	4
458	8	0	7	14	4
459	8	9	7	14	4
460	8	9	7	14	4
461	8	9	7	14	4
462	8	9	7	14	4
463	8	10	7	14	4
464	8	10	7	14	4
465	9	35	7	14	4
466	9	35	7	14	4
467	9	35	7	14	4
468	9	35	7	14	4
469	9	35	7	14	4
470	9	35	7	14	4
471	10	6	7	14	4
472	10	6	7	14	4
473	10	6	7	14	4
474	10	6	7	14	4
475	10	6	7	14	4
476	11	12	7	14	4
477	11	12	7	14	4
478	11	12	7	14	4
479	11	12	7	14	4
480	11	12	7	14	4
481	16	15	7	14	4
482	16	15	7	14	4
483	16	15	7	14	4
484	16	15	7	14	4
485	16	15	7	14	4
486	16	15	7	14	4
487	16	15	7	14	4
488	16	15	7	14	4
489	16	41	7	14	4
490	16	41	7	14	4
491	16	41	7	14	4
492	16	41	7	14	4
493	16	41	7	14	4
494	18	11	7	14	4
495	18	11	7	14	4
496	18	11	7	14	4
497	18	11	7	14	4
498	18	11	7	14	4
499	22	50	7	14	4
500	22	50	7	14	4
501	22	51	7	14	4
502	22	51	7	14	4
503	11	40	7	15	5
504	11	40	7	15	5
505	11	40	7	15	5
506	11	40	7	15	5
507	11	40	7	15	5
508	11	40	7	15	5
509	13	15	7	15	5
510	13	15	7	15	5
511	13	16	7	15	5
512	13	16	7	15	5
513	13	16	7	15	5
514	13	16	7	15	5
515	13	16	7	15	5
516	13	16	7	15	5
517	13	16	7	15	5
518	13	16	7	15	5
519	13	16	7	15	5
520	20	5	7	16	6
521	20	5	7	16	6
522	20	5	7	16	6
523	20	5	7	16	6
524	20	5	7	16	6
525	15	10	7	17	7
526	19	9	7	17	7
527	19	26	7	17	7
528	19	26	7	17	7
529	19	26	7	17	7
530	19	26	7	17	7
531	19	26	7	17	7
532	19	54	7	17	7
533	19	54	7	17	7
534	19	55	7	17	7
535	19	55	7	17	7
536	20	11	7	17	7
537	20	11	7	17	7
538	20	12	7	17	7
539	20	12	7	17	7
540	20	12	7	17	7
541	14	43	7	18	1
542	14	43	7	18	1
543	14	43	7	18	1
544	14	43	7	18	1
545	14	43	7	18	1
546	17	46	7	18	1
547	17	46	7	18	1
548	17	46	7	18	1
549	17	46	7	18	1
550	17	47	7	18	1
551	15	42	7	21	4
552	15	42	7	21	4
553	15	42	7	21	4
554	15	42	7	21	4
555	15	43	7	21	4
556	16	53	7	21	4
557	16	53	7	21	4
558	16	53	7	21	4
559	16	53	7	21	4
560	16	53	7	21	4
561	16	53	7	21	4
562	9	10	7	22	5
563	9	10	7	22	5
564	9	10	7	22	5
565	9	10	7	22	5
566	9	10	7	22	5
567	9	10	7	22	5
568	9	26	7	22	5
569	9	27	7	22	5
570	9	27	7	22	5
571	9	27	7	22	5
572	9	27	7	22	5
573	9	27	7	22	5
574	9	30	7	22	5
575	9	30	7	22	5
576	9	30	7	22	5
577	9	30	7	22	5
578	9	30	7	22	5
579	11	25	7	22	5
580	11	25	7	22	5
581	11	25	7	22	5
582	11	25	7	22	5
583	11	25	7	22	5
584	11	25	7	22	5
585	11	36	7	22	5
586	11	36	7	22	5
587	11	36	7	22	5
588	11	36	7	22	5
589	11	36	7	22	5
590	11	39	7	22	5
591	11	39	7	22	5
592	11	39	7	22	5
593	11	39	7	22	5
594	11	39	7	22	5
595	11	39	7	22	5
596	13	33	7	22	5
597	13	33	7	22	5
598	13	33	7	22	5
599	13	34	7	22	5
600	13	34	7	22	5
601	13	34	7	22	5
602	13	34	7	22	5
603	14	3	7	22	5
604	14	3	7	22	5
605	14	3	7	22	5
606	14	3	7	22	5
607	14	3	7	22	5
608	14	7	7	22	5
609	14	7	7	22	5
